school_name,address,town,lga_name,x,y
Alberton Primary School,21 Thomson Street Alberton VIC 3971,Alberton,Wellington (S),-38.617709999999995,146.6666
Allansford and District Primary School,Frank Street Allansford VIC 3277,Allansford,Warrnambool (C),-38.38628,142.59038999999999
Avoca Primary School,118 Barnett Street Avoca VIC 3467,Avoca,Pyrenees (S),-37.0845,143.47565
Avenel Primary School,40 Anderson Street Avenel VIC 3664,Avenel,Strathbogie (S),-36.90137,145.23471999999998
Warrandyte Primary School,5-11 Forbes Street Warrandyte VIC 3113,Warrandyte,Manningham (C),-37.74268,145.21398
Belmont Primary School,51 Mt Pleasant Road Belmont VIC 3216,Belmont,Greater Geelong (C),-38.17067,144.3421
Bacchus Marsh Primary School,56-62 Lerderderg Street Bacchus Marsh VIC 3340,Bacchus Marsh,Moorabool (S),-37.67303,144.44312
Ballarat Primary School (Dana Street),401 Dana Street Ballarat VIC 3350,Ballarat,Ballarat (C),-37.564009999999996,143.85394
Wodonga Primary School,Brockley Street Wodonga VIC 3690,Wodonga,Wodonga (C),-36.12921,146.88982
Berwick Primary School,37 Fairholme Boulevard Berwick VIC 3806,Berwick,Casey (C),-38.044090000000004,145.35442
Beaufort Primary School,2/37 Park Road Beaufort VIC 3373,Beaufort,Pyrenees (S),-37.438520000000004,143.38172
Cheltenham Primary School,231 Charman Road Cheltenham VIC 3192,Cheltenham,Bayside (C),-37.96861,145.05463
Cudgee Primary School,3 Hallowells Road Cudgee VIC 3265,Cudgee,Moyne (S),-38.34794,142.65084
Newport Lakes Primary School,Elizabeth Street Newport VIC 3015,Newport,Hobsons Bay (C),-37.83842,144.87833999999998
Cavendish Primary School,8-10 Barker Street Cavendish VIC 3314,Cavendish,Southern Grampians (S),-37.53087,142.03988999999999
Colac Primary School,53-65 Murray Street East Colac VIC 3250,Colac,Colac-Otway (S),-38.33722,143.59833999999998
Castlemaine Primary School,Cnr Mostyn & Urquhart Street Castlemaine VIC 3450,Castlemaine,Mount Alexander (S),-37.0666,144.22233
Campbells Creek Primary School,Main Road Campbells Creek VIC 3451,Campbells Creek,Mount Alexander (S),-37.092929999999996,144.20466000000002
Creswick Primary School,67 Napier Street Creswick VIC 3363,Creswick,Hepburn (S),-37.42411,143.89156
California Gully Primary School,4-14 Staley Street California Gully VIC 3556,California Gully,Greater Bendigo (C),-36.73321,144.24986
St Andrews Primary School,Caledonia Street St Andrews VIC 3761,St Andrews,Nillumbik (S),-37.60232,145.26983
Warrnambool West Primary School,35 Hoddle Street Warrnambool VIC 3280,Warrnambool,Warrnambool (C),-38.36634,142.4668
Dromana Primary School,Mcculloch Street Dromana VIC 3936,Dromana,Mornington Peninsula (S),-38.33964,144.95965
Doncaster Primary School,2 - 12 Council Street Doncaster VIC 3108,Doncaster,Manningham (C),-37.7868,145.12967
Echuca Primary School,413-431 High Street Echuca VIC 3564,Echuca,Campaspe (S),-36.1282,144.74746000000002
Eltham Primary School,Dalton Street Eltham VIC 3095,Eltham,Nillumbik (S),-37.72498,145.1478
Eaglehawk Primary School,Church St Eaglehawk VIC 3556,Eaglehawk,Greater Bendigo (C),-36.72058,144.25426000000002
Elphinstone Primary School,26 Wright Street Elphinstone VIC 3448,Elphinstone,Mount Alexander (S),-37.105,144.3329
Hallam Primary School,24 Harmer Road Hallam VIC 3803,Hallam,Casey (C),-38.00176,145.25824
Flemington Primary School,Cnr Mt Alexander Rd & Padman Lane Flemington VIC 3031,Flemington,Moonee Valley (C),-37.78067,144.93392
Footscray Primary School,Cnr Geelong Road & Barkly St Footscray VIC 3011,Footscray,Maribyrnong (C),-37.79838,144.89266999999998
Gisborne Primary School,35 Fisher Street Gisborne VIC 3437,Gisborne,Macedon Ranges (S),-37.49086,144.58844
Sandringham Primary School,31 Bamfield Street Sandringham VIC 3191,Sandringham,Bayside (C),-37.94763,145.00931
Wandiligong Primary School,119 School Road Wandiligong VIC 3744,Wandiligong,Alpine (S),-36.76886,146.98292
Grovedale Primary School,143 Bailey Street Grovedale VIC 3216,Grovedale,Greater Geelong (C),-38.19764,144.34776000000002
Hawthorn West Primary School,Cnr Wood Street & Burwood Road Hawthorn VIC 3122,Hawthorn,Boroondara (C),-37.82011,145.01838
Heidelberg Primary School,120 Cape Street Heidelberg VIC 3084,Heidelberg,Banyule (C),-37.7547,145.0678
Hamilton (Gray Street) Primary School,42 Gray Street Hamilton VIC 3300,Hamilton,Southern Grampians (S),-37.74491,142.02138
Heathcote Primary School,31 Herriot Street Heathcote VIC 3523,Heathcote,Greater Bendigo (C),-36.924009999999996,144.70685
Highton Primary School,218 Roslyn Road Highton VIC 3216,Highton,Greater Geelong (C),-38.17216,144.31708
Huntly Primary School,101 Brunel Street Huntly VIC 3551,Huntly,Greater Bendigo (C),-36.66254,144.3344
Bellbrae Primary School,50 School Road Bellbrae VIC 3228,Bellbrae,Surf Coast (S),-38.33364,144.263
Chiltern Primary School,91-101 Albert Road Chiltern VIC 3683,Chiltern,Indigo (S),-36.14707,146.6066
Kyneton Primary School,49-79 Edgecombe Street Kyneton VIC 3444,Kyneton,Macedon Ranges (S),-37.24889,144.46268999999998
Romsey Primary School,2-56 Station Street Romsey VIC 3434,Romsey,Macedon Ranges (S),-37.35418,144.74538
Shelford Primary School,1717 Shelford-Bannockburn Road Shelford VIC 3329,Shelford,Golden Plains (S),-38.01399,143.98214
Lockwood South Primary School,710 Calder Alternative Highway Lockwood South VIC 3551,Lockwood South,Greater Bendigo (C),-36.8416,144.15675
Marong Primary School,2 Leslie Street Marong VIC 3515,Marong,Greater Bendigo (C),-36.73568,144.13537
Mount Macedon Primary School,641 Mount Macedon Road Mount Macedon VIC 3441,Mount Macedon,Macedon Ranges (S),-37.404790000000006,144.58413000000002
Mount Clear Primary School,1206 Geelong Road Mount Clear VIC 3350,Mount Clear,Ballarat (C),-37.60474,143.86837
Melton Primary School,Unitt Street Melton VIC 3337,Melton,Melton (C),-37.68046,144.58702
Fitzroy Primary School,319 George Street Fitzroy VIC 3065,Fitzroy,Yarra (C),-37.7996,144.98151000000001
Newstead Primary School,28 Lyons Street Newstead VIC 3462,Newstead,Mount Alexander (S),-37.105920000000005,144.06718999999998
Newlyn Primary School,2701 Midland Highway Newlyn VIC 3364,Newlyn,Hepburn (S),-37.41202,143.98443
Burwood East Primary School,Cnr Blackburn And Highbury Rds Burwood East VIC 3151,Burwood East,Whitehorse (C),-37.85973,145.15181
New Gisborne Primary School,239 Station Road New Gisborne VIC 3438,New Gisborne,Macedon Ranges (S),-37.46289,144.59658000000002
Beeac Primary School,35 Lang Street Beeac VIC 3251,Beeac,Colac-Otway (S),-38.19397,143.64428
Essendon Primary School,38 Raleigh Street Essendon VIC 3040,Essendon,Moonee Valley (C),-37.7531,144.92103999999998
Coburg Primary School,92 Bell Street Coburg VIC 3058,Coburg,Moreland (C),-37.7413,144.96821
Penshurst Primary School,87 Ritchie Street Penshurst VIC 3289,Penshurst,Southern Grampians (S),-37.87918,142.29133000000002
Myrniong Primary School,13 Muddy Lane Myrniong VIC 3341,Myrniong,Moorabool (S),-37.61972,144.34632
Mernda Primary School,25 Everton Drive Mernda VIC 3754,Mernda,Whittlesea (C),-37.5946,145.09224
Portland Primary School,45 Palmer Street Portland VIC 3305,Portland,Glenelg (S),-38.3473,141.59941
Stawell Primary School,14-28 Barnes Street Stawell VIC 3380,Stawell,Northern Grampians (S),-37.056129999999996,142.77378000000002
Rutherglen Primary School,44 Murray Street Rutherglen VIC 3685,Rutherglen,Indigo (S),-36.05621,146.46061
Riddells Creek Primary School,69-77 Main Road Riddells Creek VIC 3431,Riddells Creek,Macedon Ranges (S),-37.461220000000004,144.67978
Rokewood Primary School,38 Aitchison Street Rokewood VIC 3330,Rokewood,Golden Plains (S),-37.903659999999995,143.72281
Geelong East Primary School,184 Boundary Road Geelong East VIC 3219,Geelong East,Greater Geelong (C),-38.175509999999996,144.38277
Sale Primary School,Macalister Street Sale VIC 3850,Sale,Wellington (S),-38.1083,147.07363999999998
Skipton Primary School,7 Montgomery Street Skipton VIC 3361,Skipton,Corangamite (S),-37.686859999999996,143.36816000000002
South Yarra Primary School,601 Punt Road South Yarra VIC 3141,South Yarra,Melbourne (C),-37.84135,144.98561999999998
Stratford Primary School,14 Wellsford Street Stratford VIC 3862,Stratford,Wellington (S),-37.96725,147.08539
Taradale Primary School,98 High Street Taradale VIC 3447,Taradale,Mount Alexander (S),-37.14131,144.35106000000002
Koroit And District Primary School,91 Commercial Road Koroit VIC 3282,Koroit,Moyne (S),-38.29244,142.3687
Tylden Primary School,11 Clowes Street Tylden VIC 3444,Tylden,Macedon Ranges (S),-37.32497,144.40878
Thomastown Primary School,6 Spring Street Thomastown VIC 3074,Thomastown,Whittlesea (C),-37.68227,145.0115
Wangaratta Primary School,19 Chisholm Street Wangaratta VIC 3677,Wangaratta,Wangaratta (RC),-36.35528,146.32942
Wahgunyah Primary School,Elizabeth Street Wahgunyah VIC 3687,Wahgunyah,Indigo (S),-36.01365,146.39792
Woodend Primary School,146 High Street Woodend VIC 3442,Woodend,Macedon Ranges (S),-37.35342,144.53294
Woodford Primary School,8 Victoria Street Woodford VIC 3281,Woodford,Warrnambool (C),-38.31681,142.4845
Werribee Primary School,2 Deutgam Street Werribee VIC 3030,Werribee,Wyndham (C),-37.90687,144.65874
Winters Flat Primary School,3 Roberts Avenue Castlemaine VIC 3450,Castlemaine,Mount Alexander (S),-37.070159999999994,144.20748999999998
Wooragee Primary School,1011 Beechworth-Wodonga Road Wooragee VIC 3747,Wooragee,Indigo (S),-36.29048,146.73088
Wallan Primary School,46-48 Queen Street Wallan VIC 3756,Wallan,Mitchell (S),-37.41146,144.97503999999998
Woolsthorpe Primary School,12 Manifold Street Woolsthorpe VIC 3276,Woolsthorpe,Moyne (S),-38.18741,142.43176
Yandoit Primary School,74 High Street Yandoit VIC 3461,Yandoit,Hepburn (S),-37.214,144.08844
Yarram Primary School,2-14 Wesley Street Yarram VIC 3971,Yarram,Wellington (S),-38.55853,146.67532
Pleasant Street Primary School (Ballarat),101 Pleasant St North Lake Wendouree VIC 3350,Lake Wendouree,Ballarat (C),-37.556329999999996,143.8385
Yea Primary School,23 Station Street Yea VIC 3717,Yea,Murrindindi (S),-37.21273,145.4283
Lancefield Primary School,80 High Street Lancefield VIC 3435,Lancefield,Macedon Ranges (S),-37.27495,144.72642
Coimadai Primary School,86 Bennetts Lane Coimadai VIC 3340,Coimadai,Moorabool (S),-37.61379,144.47831000000002
Birregurra Primary School,58 Beal Street Birregurra VIC 3242,Birregurra,Colac-Otway (S),-38.34046,143.78651000000002
Clayton North Primary School,1714 Dandenong Road Clayton VIC 3168,Clayton,Monash (C),-37.91194,145.12267
Milawa Primary School,133 Milawa-Bobinawarrah Road Milawa VIC 3678,Milawa,Wangaratta (RC),-36.44454,146.43248
Lockwood Primary School,190 Wiegards Road Lockwood VIC 3551,Lockwood,Greater Bendigo (C),-36.80258,144.16156
Bealiba Primary School,9 Grant Street Bealiba VIC 3475,Bealiba,Central Goldfields (S),-36.78994,143.5519
Bairnsdale Primary School,330 - 370 Main Street Bairnsdale VIC 3875,Bairnsdale,East Gippsland (S),-37.827420000000004,147.62323
Gordon Primary School,1 Dicker Street Gordon VIC 3345,Gordon,Moorabool (S),-37.58385,144.10505
Hepburn Primary School,156 Main Road Hepburn VIC 3461,Hepburn,Hepburn (S),-37.30972,144.13276000000002
Lara Lake Primary School,89 Forest Road South Lara Lake VIC 3212,Lara Lake,Greater Geelong (C),-38.0304,144.39564
Rosedale Primary School,1-23 Cricket Street Rosedale VIC 3847,Rosedale,Wellington (S),-38.1546,146.7739
Bright P-12 College,46 Bakers Gully Road Bright VIC 3741,Bright,Alpine (S),-36.7331,146.96093
Rochester Primary School,2 George Street Rochester VIC 3561,Rochester,Campaspe (S),-36.3546,144.69799999999998
Ararat Primary School,70 - 78 Moore Street Ararat VIC 3377,Ararat,Ararat (RC),-37.285940000000004,142.93731
Jamieson Primary School,1 The Sideling Jamieson VIC 3723,Jamieson,Mansfield (S),-37.30126,146.14
Preston South Primary School,56B Hotham Street Preston VIC 3072,Preston,Darebin (C),-37.74787,145.00745
Omeo Primary School,167 Day Avenue Omeo VIC 3898,Omeo,East Gippsland (S),-37.10022,147.59308000000001
Harrietville Primary School,165 Great Alpine Road Harrietville VIC 3741,Harrietville,Alpine (S),-36.88771,147.06493999999998
Mordialloc Beach Primary School,58 Barkly Street Mordialloc VIC 3195,Mordialloc,Kingston (C),-38.00558,145.08881
Healesville Primary School,2 View Street Healesville VIC 3777,Healesville,Yarra Ranges (S),-37.65713,145.51604
Lake Bolac College,90 Montgomery Street Lake Bolac VIC 3351,Lake Bolac,Ararat (RC),-37.720240000000004,142.8379
Toongabbie Primary School,Victoria Street Toongabbie VIC 3856,Toongabbie,Latrobe (C),-38.05697,146.62518
Waubra Primary School,2110 Sunraysia Highway Waubra VIC 3352,Waubra,Pyrenees (S),-37.353840000000005,143.63446000000002
Great Western Primary School,Stephenson Street Great Western VIC 3374,Great Western,Northern Grampians (S),-37.148509999999995,142.85173
Maffra Primary School,22-28 Church Street Maffra VIC 3860,Maffra,Wellington (S),-37.964,146.97677
Broken Creek Primary School,413 Quinn Road Broken Creek VIC 3673,Broken Creek,Benalla (RC),-36.42328,145.88923
Lal Lal Primary School,12 Vaughan Street Lal Lal VIC 3352,Lal Lal,Moorabool (S),-37.67672,144.01071000000002
Cobden Primary School,Silvester Street Cobden VIC 3266,Cobden,Corangamite (S),-38.32712,143.07811999999998
St Leonards Primary School,1341 Murradoc Road St Leonards VIC 3223,St Leonards,Greater Geelong (C),-38.17184,144.71475
Lilydale Primary School,63 - 65 Castella Street Lilydale VIC 3140,Lilydale,Yarra Ranges (S),-37.75367,145.35407
Bendigo Primary School,Old Violet Street Bendigo VIC 3550,Bendigo,Greater Bendigo (C),-36.757020000000004,144.26523999999998
Darraweit Guim Primary School,2 Darraweit Valley Road Darraweit Guim VIC 3756,Darraweit Guim,Macedon Ranges (S),-37.40103,144.89356999999998
Linton Primary School,28 Adair Street Linton VIC 3360,Linton,Golden Plains (S),-37.68407,143.56131000000002
Invermay Primary School,187 Swinglers Road Invermay VIC 3352,Invermay,Ballarat (C),-37.52053,143.87458
Mitta Mitta Primary School,27 Giltrap Road Mitta Mitta VIC 3701,Mitta Mitta,Towong (S),-36.533409999999996,147.37948
Camberwell Primary School,290 Camberwell Road Camberwell VIC 3124,Camberwell,Boroondara (C),-37.832679999999996,145.05805
Greenvale Primary School,12-24 Bradford Avenue Greenvale VIC 3059,Greenvale,Hume (C),-37.639829999999996,144.88618
Alexandra Primary School,15 Webster Street Alexandra VIC 3714,Alexandra,Murrindindi (S),-37.19257,145.7117
Rockbank Primary School,97-105 Westcott Parade Rockbank VIC 3335,Rockbank,Melton (C),-37.73215,144.6619
Bannockburn P-12 College,139 Milton Street Bannockburn VIC 3331,Bannockburn,Golden Plains (S),-38.042,144.16066999999998
Doreen Primary School,75 Doctors Gully Road Doreen VIC 3754,Doreen,Nillumbik (S),-37.60601,145.14553999999998
Talbot Primary School,2 Rowe Street Talbot VIC 3371,Talbot,Central Goldfields (S),-37.16865,143.7036
Yarra Glen Primary School,35 Symonds Street Yarra Glen VIC 3775,Yarra Glen,Yarra Ranges (S),-37.6497,145.37241
Elmhurst Primary School,48 Byerly Street Elmhurst VIC 3469,Elmhurst,Ararat (RC),-37.178020000000004,143.25021
Kangaroo Flat Primary School,60-80 Olympic Parade Kangaroo Flat VIC 3555,Kangaroo Flat,Greater Bendigo (C),-36.78768,144.23408999999998
Westmeadows Primary School,34-46 Riddell Street Westmeadows VIC 3049,Westmeadows,Hume (C),-37.67565,144.8957
Sunbury Primary School,41 The Heights Sunbury VIC 3429,Sunbury,Hume (C),-37.59769,144.72814
Diamond Creek Primary School,17 Clyde Street Diamond Creek VIC 3089,Diamond Creek,Nillumbik (S),-37.67185,145.15165
Hesket Primary School,800 Romsey Road Hesket VIC 3442,Hesket,Macedon Ranges (S),-37.347809999999996,144.61978
Axedale Primary School,81 High Street Axedale VIC 3551,Axedale,Greater Bendigo (C),-36.786229999999996,144.50146
Vermont Primary School,4-10 Nurlendi Road Vermont VIC 3133,Vermont,Whitehorse (C),-37.83736,145.1943
Tarnagulla Primary School,51 Stanley Street Tarnagulla VIC 3551,Tarnagulla,Loddon (S),-36.77126,143.8284
Balwyn Primary School,86B Balwyn Road Balwyn VIC 3103,Balwyn,Boroondara (C),-37.81394,145.08138
Scoresby Primary School,11 Ingrid Street Scoresby VIC 3179,Scoresby,Knox (C),-37.89395,145.2275
Carisbrook Primary School,2  Camp Street Carisbrook VIC 3464,Carisbrook,Central Goldfields (S),-37.05206,143.81266000000002
Wandin Yallock Primary School,105 Beenak Road Wandin North VIC 3139,Wandin North,Yarra Ranges (S),-37.79025,145.43595
Yering Primary School,22-24 Melba Highway Yering VIC 3770,Yering,Yarra Ranges (S),-37.70535,145.38222
Dartmoor Primary School,76 Greenham Street Dartmoor VIC 3304,Dartmoor,Glenelg (S),-37.92302,141.27673000000001
Mickleham Primary School,1880 Mickleham Road Mickleham VIC 3064,Mickleham,Hume (C),-37.5635,144.87655
Inglewood Primary School,77 Sullivan Street Inglewood VIC 3517,Inglewood,Loddon (S),-36.57394,143.87045
Chewton Primary School,1 Hunter Street Chewton VIC 3451,Chewton,Mount Alexander (S),-37.08233,144.26116000000002
Bolinda Primary School,1 Mullalys Road Bolinda VIC 3432,Bolinda,Macedon Ranges (S),-37.43373,144.7454
Napoleons Primary School,4721 Colac-Ballarat Road Napoleons VIC 3352,Napoleons,Golden Plains (S),-37.67863,143.82646
Kew Primary School,Peel Street Kew VIC 3101,Kew,Boroondara (C),-37.80364,145.03339
Haddon Primary School,398 Sago Hill Road Haddon VIC 3351,Haddon,Golden Plains (S),-37.588640000000005,143.72171
Panmure Primary School,8759 Princes Highway Panmure VIC 3265,Panmure,Moyne (S),-38.32935,142.73253
Sorrento Primary School,32 Kerferd Avenue Sorrento VIC 3943,Sorrento,Mornington Peninsula (S),-38.34148,144.74069
Alfredton Primary School,89a Cuthberts Road Alfredton VIC 3350,Alfredton,Ballarat (C),-37.5548,143.8021
Bridgewater Primary School,34 - 44 Eldon Street Bridgewater On Loddon VIC 3516,Bridgewater On Loddon,Loddon (S),-36.6031,143.94592
Hastings Primary School,10 - 20 Hodgins Road Hastings VIC 3915,Hastings,Mornington Peninsula (S),-38.2997,145.18947
Yackandandah Primary School,39 High Street Yackandandah VIC 3749,Yackandandah,Indigo (S),-36.3121,146.83646000000002
Nagambie Primary School,31 Goulburn Street Nagambie VIC 3608,Nagambie,Strathbogie (S),-36.78759,145.15723
Heyfield Primary School,22 Temple Street Heyfield VIC 3858,Heyfield,Wellington (S),-37.98211,146.78493999999998
Moorabbin Primary School,61 Worthing Road Moorabbin VIC 3189,Moorabbin,Kingston (C),-37.94202,145.03959
Mansfield Primary School,4 Apollo Street Mansfield VIC 3722,Mansfield,Mansfield (S),-37.05559,146.08482
Middle Indigo Primary School,710 Indigo Creek Road Indigo Valley VIC 3688,Indigo Valley,Indigo (S),-36.156009999999995,146.72484
Briagolong Primary School,2 Church Street Briagolong VIC 3860,Briagolong,Wellington (S),-37.8428,147.06784
Lindenow Primary School,140 Henry Street Lindenow VIC 3865,Lindenow,East Gippsland (S),-37.80088,147.45327
Broadford Primary School,17-23 Powlett Street Broadford VIC 3658,Broadford,Mitchell (S),-37.20257,145.0463
Murchison Primary School,8 - 10 Impey Street Murchison VIC 3610,Murchison,Greater Shepparton (C),-36.61718,145.21428999999998
Panton Hill Primary School,585 Kangaroo Grd-St Andrews Rd Panton Hill VIC 3759,Panton Hill,Nillumbik (S),-37.64161,145.23956
Glen Park Primary School,265 Ralstons Road Glen Park VIC 3352,Glen Park,Moorabool (S),-37.52478,143.9348
Concongella Primary School,61 Concongella School Road CONCONGELLA VIC 3384,CONCONGELLA,Northern Grampians (S),-37.04956,142.82232
Bruthen Primary School,31 Great Alpine Road Bruthen VIC 3885,Bruthen,East Gippsland (S),-37.704209999999996,147.83348999999998
Swan Hill Primary School,123 Gray Street Swan Hill VIC 3585,Swan Hill,Swan Hill (RC),-35.34691,143.54325
Porepunkah Primary School,2 Martley Street Porepunkah VIC 3740,Porepunkah,Alpine (S),-36.699490000000004,146.91102
Leopold Primary School,1 Kensington Road Leopold VIC 3224,Leopold,Greater Geelong (C),-38.187259999999995,144.46437
Inverleigh Primary School,54 High Street Inverleigh VIC 3321,Inverleigh,Golden Plains (S),-38.10094,144.05469
Glen Iris Primary School,170 Glen Iris Road Glen Iris VIC 3146,Glen Iris,Boroondara (C),-37.860479999999995,145.06589
Trawalla Primary School,11 Trawalla Road Trawalla VIC 3373,Trawalla,Pyrenees (S),-37.43773,143.46986
Quarry Hill Primary School,25 Peel Street Quarry Hill VIC 3550,Quarry Hill,Greater Bendigo (C),-36.77512,144.27998
Sebastopol Primary School,9 Warreen Street Sebastopol VIC 3356,Sebastopol,Ballarat (C),-37.59643,143.84472
Woodside Primary School,41 Beach Road Woodside VIC 3874,Woodside,Wellington (S),-38.52668,146.87668
Noorat Primary School,MacKinnon's Bridge Road Noorat VIC 3265,Noorat,Corangamite (S),-38.19075,142.92873
Albert Park Primary School,Bridport Street Albert Park VIC 3206,Albert Park,Port Phillip (C),-37.841879999999996,144.95277
Williamstown Primary School,Cnr. Electra & Parker Street Williamstown VIC 3016,Williamstown,Hobsons Bay (C),-37.8638,144.90041000000002
Boneo Primary School,582 Boneo Road Boneo VIC 3939,Boneo,Mornington Peninsula (S),-38.41187,144.88728
Queenscliff Primary School,Cnr Stokes & Stevens Street Queenscliff VIC 3225,Queenscliff,Queenscliffe (B),-38.26722,144.65621000000002
Portland North Primary School,42 School Road Portland North VIC 3305,Portland North,Glenelg (S),-38.317640000000004,141.57233
Timor Primary School,395 Bet Bet Creek Road Timor VIC 3465,Timor,Central Goldfields (S),-36.98422,143.71199
Apsley Primary School,46 Laidlaw Street Apsley VIC 3319,Apsley,West Wimmera (S),-36.97371,141.08248999999998
Strathfieldsaye Primary School,9 Uxbridge Street Strathfieldsaye VIC 3551,Strathfieldsaye,Greater Bendigo (C),-36.804359999999996,144.35291
Skye Primary School,395 Ballarto Road Skye VIC 3977,Skye,Frankston (C),-38.117709999999995,145.20123999999998
Tooborac Primary School,5185 Northern Highway Tooborac VIC 3522,Tooborac,Mitchell (S),-37.03978,144.79814
Lucknow Primary School,35 Howitt Avenue Eastwood VIC 3875,Eastwood,East Gippsland (S),-37.812670000000004,147.63075
Upper Plenty Primary School,10 Clarkes Road Upper Plenty VIC 3756,Upper Plenty,Mitchell (S),-37.42371,145.05787
Carlton North Primary School,60 Lee Street Carlton North VIC 3054,Carlton North,Yarra (C),-37.791059999999995,144.97303
Maldon Primary School,109 High Street Maldon VIC 3463,Maldon,Mount Alexander (S),-36.99504,144.06581
Woori Yallock Primary School,1360 Healesville Road Woori Yallock VIC 3139,Woori Yallock,Yarra Ranges (S),-37.77737,145.53269
Moyston Primary School,1349 Ararat-Halls Gap Road Moyston VIC 3377,Moyston,Ararat (RC),-37.30166,142.76785
Buninyong Primary School,202 Simpson Street Buninyong VIC 3357,Buninyong,Ballarat (C),-37.65423,143.88625
Marysville Primary School,15 Falls Road Marysville VIC 3779,Marysville,Murrindindi (S),-37.51198,145.74894
Langley Primary School,Crn Kyneton/Heathcote & Parsells Rd Langley VIC 3444,Langley,Mount Alexander (S),-37.17118,144.48966000000001
Wandong Primary School,39-51 Rail Street Wandong VIC 3758,Wandong,Mitchell (S),-37.3603,145.02786
Cowes Primary School,177 Settlement Road Cowes VIC 3922,Cowes,Bass Coast (S),-38.45628,145.24131
Bullarto Primary School,131 Bullarto South Road Bullarto VIC 3461,Bullarto,Hepburn (S),-37.40538,144.21822
Lismore Primary School,77 William Street Lismore VIC 3324,Lismore,Corangamite (S),-37.9546,143.3393
Lower Plenty Primary School,126-146 Main Road Lower Plenty VIC 3093,Lower Plenty,Banyule (C),-37.72617,145.1155
Specimen Hill Primary School,Inglewood Street Golden Square VIC 3555,Golden Square,Greater Bendigo (C),-36.76187,144.24833999999998
Bolwarra Primary School,249 Princes Highway Bolwarra VIC 3305,Bolwarra,Glenelg (S),-38.28161,141.6138
Navarre Primary School,High Street Navarre VIC 3384,Navarre,Northern Grampians (S),-36.90074,143.11133999999998
Warracknabeal Primary School,5 Werrigar Street Warracknabeal VIC 3393,Warracknabeal,Yarriambiack (S),-36.25788,142.39126000000002
Moyhu Primary School,2799 Wangaratta-Whitfield Road Moyhu VIC 3732,Moyhu,Wangaratta (RC),-36.59317,146.38308999999998
Natte Yallock Primary School,10 School Road Natte Yallock VIC 3465,Natte Yallock,Pyrenees (S),-36.94213,143.468
Clifton Hill Primary School,185 Gold St Clifton Hill VIC 3068,Clifton Hill,Yarra (C),-37.79231,144.98925
Christmas Hills Primary School,1409 Eltham-yarra Glen Road Christmas Hills VIC 3775,Christmas Hills,Nillumbik (S),-37.65352,145.3042
Tallangatta Primary School,1 Wonga Grove Tallangatta VIC 3700,Tallangatta,Towong (S),-36.2148,147.1742
Kialla Central Primary School,128 Central Kialla Road Kialla VIC 3631,Kialla,Greater Shepparton (C),-36.4527,145.43115
Mount Eliza Primary School,Wooralla Drive Mount Eliza VIC 3930,Mount Eliza,Mornington Peninsula (S),-38.19539,145.09219
San Remo Primary School,22 Bergin Grove San Remo VIC 3925,San Remo,Bass Coast (S),-38.52385,145.36945
Dimboola Primary School,Hindmarsh Street Dimboola VIC 3414,Dimboola,Hindmarsh (S),-36.453359999999996,142.0304
Whorouly Primary School,18 Church Street Whorouly VIC 3735,Whorouly,Wangaratta (RC),-36.50544,146.58665
Merrijig Primary School,1820 Mount Buller Road Merrijig VIC 3723,Merrijig,Mansfield (S),-37.1028,146.25688
Lethbridge Primary School,2 Stephenson Street Lethbridge VIC 3332,Lethbridge,Golden Plains (S),-37.96906,144.13456000000002
Oxley Primary School,1050 Wangaratta-Whitfield Road Oxley VIC 3678,Oxley,Wangaratta (RC),-36.441559999999996,146.36064
Northcote Primary School,33 Helen Street Northcote VIC 3070,Northcote,Darebin (C),-37.77176,144.99688
North Melbourne Primary School,210 Errol Street North Melbourne VIC 3051,North Melbourne,Melbourne (C),-37.79873,144.95064
Dandenong Primary School,174-182 Foster Street Dandenong VIC 3175,Dandenong,Greater Dandenong (C),-37.98792,145.21982
Malmsbury Primary School,28 Cameron Street Malmsbury VIC 3446,Malmsbury,Macedon Ranges (S),-37.18732,144.38693999999998
Williamstown North Primary School,133 Melbourne Road Williamstown VIC 3016,Williamstown,Hobsons Bay (C),-37.8559,144.89176
Kerang Primary School,75 - 79 Victoria Street Kerang VIC 3579,Kerang,Gannawarra (S),-35.73169,143.92113999999998
Drouin West Primary School,535 Main Neerim Road Drouin West VIC 3818,Drouin West,Baw Baw (S),-38.087109999999996,145.87171999999998
Meredith Primary School,5 Wallace Street Meredith VIC 3333,Meredith,Golden Plains (S),-37.84271,144.07781
Edi Upper Primary School,832 Edi-Cheshunt Road Edi Upper VIC 3678,Edi Upper,Wangaratta (RC),-36.70647,146.44881
Eaglehawk North Primary School,1-9 Bendigo-Pyramid Road Eaglehawk VIC 3556,Eaglehawk,Greater Bendigo (C),-36.70707,144.23727
Mooroopna Primary School,16-18 O'Brien Street Mooroopna VIC 3629,Mooroopna,Greater Shepparton (C),-36.39136,145.36029
Cairnlea Park Primary School,49 Carmody Drive Cairnlea VIC 3023,Cairnlea,Brimbank (C),-37.75885,144.78799999999998
Ballan Primary School,8-14 Duncan Street Ballan VIC 3342,Ballan,Moorabool (S),-37.60168,144.2311
Mount Pleasant Primary School,401 Cobden Street Ballarat VIC 3350,Ballarat,Ballarat (C),-37.578359999999996,143.85781
